topology,n_reviewers,n_latent_classes,classifier_accuracy,seeding_rate,seed,false_novelty_rate,true_novelty_recall,specificity,balanced_accuracy,consensus_accuracy,mean_agreement,tp,fp,tn,fn
isolated,20,40,0.75,0.1,4,0.5125,0.65,0.48750000000000004,0.5687500000000001,0.52,0.62225,26,82,78,14
isolated,20,40,0.75,0.1,5,0.5652173913043478,0.7435897435897436,0.4347826086956522,0.589186176142698,0.495,0.614,29,91,70,10
isolated,20,40,0.75,0.1,6,0.51875,0.7,0.48124999999999996,0.590625,0.525,0.6352499999999999,28,83,77,12
isolated,20,40,0.75,0.1,7,0.5625,0.7,0.4375,0.56875,0.49,0.6385000000000001,28,90,70,12
isolated,20,40,0.75,0.1,8,0.59375,0.725,0.40625,0.565625,0.47,0.61025,29,95,65,11
isolated,20,40,0.75,0.1,9,0.625,0.625,0.375,0.5,0.425,0.611,25,100,60,15
lattice,20,40,0.75,0.1,0,0.01875,0.075,0.98125,0.528125,0.8,0.8085,3,3,157,37
lattice,20,40,0.75,0.1,1,0.0,0.05,1.0,0.525,0.81,0.816,2,0,160,38
lattice,20,40,0.75,0.1,2,0.03125,0.15,0.96875,0.559375,0.805,0.80825,6,5,155,34
lattice,20,40,0.75,0.1,3,0.025,0.05,0.975,0.5125,0.79,0.791,2,4,156,38
lattice,20,40,0.75,0.1,4,0.01875,0.025,0.98125,0.5031249999999999,0.79,0.8242499999999999,1,3,157,39
lattice,20,40,0.75,0.1,5,0.012422360248447204,0.07692307692307693,0.9875776397515528,0.5322503583373148,0.81,0.8270000000000001,3,2,159,36
lattice,20,40,0.75,0.1,6,0.0125,0.125,0.9875,0.55625,0.815,0.8019999999999999,5,2,158,35
lattice,20,40,0.75,0.1,7,0.03125,0.1,0.96875,0.534375,0.795,0.7972499999999999,4,5,155,36
lattice,20,40,0.75,0.1,8,0.01875,0.025,0.98125,0.5031249999999999,0.79,0.805,1,3,157,39
lattice,20,40,0.75,0.1,9,0.0,0.075,1.0,0.5375,0.815,0.8059999999999999,3,0,160,37
small_world,20,40,0.75,0.1,0,0.00625,0.05,0.99375,0.521875,0.805,0.9115000000000001,2,1,159,38
small_world,20,40,0.75,0.1,1,0.0,0.025,1.0,0.5125,0.805,0.9195,1,0,160,39
small_world,20,40,0.75,0.1,2,0.00625,0.05,0.99375,0.521875,0.805,0.9002500000000001,2,1,159,38
small_world,20,40,0.75,0.1,3,0.0125,0.025,0.9875,0.50625,0.795,0.9052499999999999,1,2,158,39
small_world,20,40,0.75,0.1,4,0.0,0.025,1.0,0.5125,0.805,0.9257500000000001,1,0,160,39
small_world,20,40,0.75,0.1,5,0.006211180124223602,0.02564102564102564,0.9937888198757764,0.509714922758401,0.805,0.9175,1,1,160,38
small_world,20,40,0.75,0.1,6,0.00625,0.025,0.99375,0.509375,0.8,0.9047499999999999,1,1,159,39
small_world,20,40,0.75,0.1,7,0.00625,0.025,0.99375,0.509375,0.8,0.90425,1,1,159,39
small_world,20,40,0.75,0.1,8,0.0,0.0,1.0,0.5,0.8,0.9207499999999998,0,0,160,40
small_world,20,40,0.75,0.1,9,0.0,0.05,1.0,0.525,0.81,0.9214999999999999,2,0,160,38
shared,20,40,0.75,0.1,0,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,20,40,0.75,0.1,1,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,20,40,0.75,0.1,2,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,20,40,0.75,0.1,3,0.0125,0.025,0.9875,0.50625,0.795,0.9914999999999999,1,2,158,39
shared,20,40,0.75,0.1,4,0.0,0.025,1.0,0.5125,0.805,0.9930000000000001,1,0,160,39
shared,20,40,0.75,0.1,5,0.006211180124223602,0.02564102564102564,0.9937888198757764,0.509714922758401,0.805,0.9832499999999998,1,1,160,38
shared,20,40,0.75,0.1,6,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,20,40,0.75,0.1,7,0.00625,0.025,0.99375,0.509375,0.8,0.9904999999999999,1,1,159,39
shared,20,40,0.75,0.1,8,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,20,40,0.75,0.1,9,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
isolated,20,40,0.75,0.2,0,0.04375,0.15,0.95625,0.553125,0.795,0.7122499999999999,6,7,153,34
isolated,20,40,0.75,0.2,1,0.05625,0.225,0.94375,0.584375,0.8,0.6955,9,9,151,31
isolated,20,40,0.75,0.2,2,0.08125,0.2,0.91875,0.559375,0.775,0.72925,8,13,147,32
isolated,20,40,0.75,0.2,3,0.1,0.2,0.9,0.55,0.76,0.71075,8,16,144,32
isolated,20,40,0.75,0.2,4,0.0625,0.225,0.9375,0.58125,0.795,0.7145,9,10,150,31
isolated,20,40,0.75,0.2,5,0.043478260869565216,0.1282051282051282,0.9565217391304348,0.5423634336677815,0.795,0.7055,5,7,154,34
isolated,20,40,0.75,0.2,6,0.08125,0.2,0.91875,0.559375,0.775,0.711,8,13,147,32
isolated,20,40,0.75,0.2,7,0.08125,0.25,0.91875,0.584375,0.785,0.709,10,13,147,30
isolated,20,40,0.75,0.2,8,0.03125,0.175,0.96875,0.571875,0.81,0.7075,7,5,155,33
isolated,20,40,0.75,0.2,9,0.03125,0.15,0.96875,0.559375,0.805,0.727,6,5,155,34
lattice,20,40,0.75,0.2,0,0.0,0.025,1.0,0.5125,0.805,0.95975,1,0,160,39
lattice,20,40,0.75,0.2,1,0.0,0.0,1.0,0.5,0.8,0.96125,0,0,160,40
lattice,20,40,0.75,0.2,2,0.0,0.05,1.0,0.525,0.81,0.92975,2,0,160,38
lattice,20,40,0.75,0.2,3,0.0,0.0,1.0,0.5,0.8,0.9405,0,0,160,40
lattice,20,40,0.75,0.2,4,0.0,0.025,1.0,0.5125,0.805,0.9482499999999999,1,0,160,39
lattice,20,40,0.75,0.2,5,0.0,0.0,1.0,0.5,0.805,0.9577500000000001,0,0,161,39
lattice,20,40,0.75,0.2,6,0.0,0.025,1.0,0.5125,0.805,0.9427499999999999,1,0,160,39
lattice,20,40,0.75,0.2,7,0.0,0.0,1.0,0.5,0.8,0.94625,0,0,160,40
lattice,20,40,0.75,0.2,8,0.0,0.0,1.0,0.5,0.8,0.963,0,0,160,40
lattice,20,40,0.75,0.2,9,0.0,0.025,1.0,0.5125,0.805,0.95,1,0,160,39
small_world,20,40,0.75,0.2,0,0.0,0.0,1.0,0.5,0.8,0.99125,0,0,160,40
small_world,20,40,0.75,0.2,1,0.0,0.0,1.0,0.5,0.8,0.9847499999999999,0,0,160,40
small_world,20,40,0.75,0.2,2,0.0,0.0,1.0,0.5,0.8,0.97125,0,0,160,40
small_world,20,40,0.75,0.2,3,0.0,0.0,1.0,0.5,0.8,0.9847499999999999,0,0,160,40
small_world,20,40,0.75,0.2,4,0.0,0.0,1.0,0.5,0.8,0.9790000000000001,0,0,160,40
small_world,20,40,0.75,0.2,5,0.0,0.0,1.0,0.5,0.805,0.9857499999999999,0,0,161,39
small_world,20,40,0.75,0.2,6,0.0,0.0,1.0,0.5,0.8,0.9704999999999999,0,0,160,40
small_world,20,40,0.75,0.2,7,0.0,0.0,1.0,0.5,0.8,0.981,0,0,160,40
small_world,20,40,0.75,0.2,8,0.0,0.0,1.0,0.5,0.8,0.9875,0,0,160,40
small_world,20,40,0.75,0.2,9,0.0,0.0,1.0,0.5,0.8,0.9797499999999999,0,0,160,40
shared,20,40,0.75,0.2,0,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,20,40,0.75,0.2,1,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,20,40,0.75,0.2,2,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,20,40,0.75,0.2,3,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,20,40,0.75,0.2,4,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,20,40,0.75,0.2,5,0.0,0.0,1.0,0.5,0.805,0.9925,0,0,161,39
shared,20,40,0.75,0.2,6,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,20,40,0.75,0.2,7,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,20,40,0.75,0.2,8,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,20,40,0.75,0.2,9,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
