topology,n_reviewers,n_latent_classes,classifier_accuracy,seeding_rate,seed,false_novelty_rate,true_novelty_recall,specificity,balanced_accuracy,consensus_accuracy,mean_agreement,tp,fp,tn,fn
shared,20,40,0.75,0.05,5,0.012422360248447204,0.05128205128205128,0.9875776397515528,0.519429845516802,0.805,0.9769999999999999,2,2,159,37
shared,20,40,0.75,0.05,6,0.025,0.025,0.975,0.5,0.785,0.98,1,4,156,39
shared,20,40,0.75,0.05,7,0.01875,0.05,0.98125,0.515625,0.795,0.9834999999999999,2,3,157,38
shared,20,40,0.75,0.05,8,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,20,40,0.75,0.05,9,0.0,0.025,1.0,0.5125,0.805,0.99375,1,0,160,39
isolated,20,80,0.75,0.05,0,1.0,1.0,0.0,0.5,0.375,0.84,75,125,0,0
isolated,20,80,0.75,0.05,1,1.0,1.0,0.0,0.5,0.38,0.8467500000000001,76,124,0,0
isolated,20,80,0.75,0.05,2,0.9920634920634921,1.0,0.007936507936507936,0.503968253968254,0.375,0.8447500000000001,74,125,1,0
isolated,20,80,0.75,0.05,3,1.0,1.0,0.0,0.5,0.355,0.85125,71,129,0,0
isolated,20,80,0.75,0.05,4,0.9836065573770492,0.9871794871794872,0.01639344262295082,0.501786464901219,0.395,0.8597499999999999,77,120,2,1
isolated,20,80,0.75,0.05,5,1.0,0.9863013698630136,0.0,0.4931506849315068,0.36,0.8484999999999999,72,127,0,1
isolated,20,80,0.75,0.05,6,0.9922480620155039,0.9859154929577465,0.007751937984496124,0.4968337154711213,0.355,0.836,70,128,1,1
isolated,20,80,0.75,0.05,7,0.9838709677419355,1.0,0.016129032258064516,0.5080645161290323,0.39,0.85,76,122,2,0
isolated,20,80,0.75,0.05,8,1.0,1.0,0.0,0.5,0.37,0.8552500000000001,74,126,0,0
isolated,20,80,0.75,0.05,9,1.0,1.0,0.0,0.5,0.365,0.845,73,127,0,0
small_world,20,80,0.75,0.05,0,0.352,0.52,0.648,0.5840000000000001,0.6,0.66975,39,44,81,36
small_world,20,80,0.75,0.05,1,0.1774193548387097,0.4868421052631579,0.8225806451612904,0.6547113752122241,0.695,0.6692499999999998,37,22,102,39
small_world,20,80,0.75,0.05,2,0.2777777777777778,0.5540540540540541,0.7222222222222222,0.6381381381381381,0.66,0.67875,41,35,91,33
small_world,20,80,0.75,0.05,3,0.35658914728682173,0.5492957746478874,0.6434108527131783,0.5963533136805328,0.61,0.6665000000000001,39,46,83,32
