topology,n_reviewers,n_latent_classes,classifier_accuracy,seed,false_novelty_rate,true_novelty_recall,consensus_accuracy,mean_agreement,tp,fp,tn,fn
small_world,20,40,0.75,3,0.075,0.125,0.765,0.7445,5,12,148,35
small_world,20,40,0.75,4,0.0375,0.05,0.78,0.74075,2,6,154,38
small_world,20,40,0.75,5,0.11801242236024845,0.20512820512820512,0.75,0.755,8,19,142,31
small_world,20,40,0.75,6,0.1,0.2,0.76,0.752,8,16,144,32
small_world,20,40,0.75,7,0.0875,0.175,0.765,0.7557500000000001,7,14,146,33
small_world,20,40,0.75,8,0.09375,0.2,0.765,0.7297499999999999,8,15,145,32
small_world,20,40,0.75,9,0.0125,0.075,0.805,0.7647499999999999,3,2,158,37
small_world,20,40,0.9,0,0.05,0.125,0.785,0.7482500000000001,5,8,152,35
small_world,20,40,0.9,1,0.03125,0.1,0.795,0.7917500000000001,4,5,155,36
small_world,20,40,0.9,2,0.075,0.25,0.79,0.795,10,12,148,30
small_world,20,40,0.9,3,0.075,0.2,0.78,0.7597499999999999,8,12,148,32
small_world,20,40,0.9,4,0.0375,0.075,0.785,0.74775,3,6,154,37
small_world,20,40,0.9,5,0.13043478260869565,0.28205128205128205,0.755,0.7829999999999999,11,21,140,28
small_world,20,40,0.9,6,0.125,0.225,0.745,0.7802500000000001,9,20,140,31
small_world,20,40,0.9,7,0.1125,0.2,0.75,0.785,8,18,142,32
small_world,20,40,0.9,8,0.10625,0.2,0.755,0.74575,8,17,143,32
small_world,20,40,0.9,9,0.025,0.125,0.805,0.779,5,4,156,35
shared,20,40,0.6,0,0.00625,0.025,0.8,0.9815,1,1,159,39
shared,20,40,0.6,1,0.0,0.0,0.8,1.0,0,0,160,40
shared,20,40,0.6,2,0.0,0.0,0.8,1.0,0,0,160,40
shared,20,40,0.6,3,0.00625,0.025,0.8,0.98625,1,1,159,39
shared,20,40,0.6,4,0.0,0.0,0.8,0.98775,0,0,160,40
shared,20,40,0.6,5,0.012422360248447204,0.02564102564102564,0.8,0.9630000000000001,1,2,159,38
shared,20,40,0.6,6,0.01875,0.025,0.79,0.968,1,3,157,39
shared,20,40,0.6,7,0.01875,0.025,0.79,0.9669999999999999,1,3,157,39
shared,20,40,0.6,8,0.0,0.0,0.8,1.0,0,0,160,40
shared,20,40,0.6,9,0.0,0.025,0.805,0.987,1,0,160,39
shared,20,40,0.75,0,0.0125,0.025,0.795,0.9875,1,2,158,39
shared,20,40,0.75,1,0.0,0.0,0.8,1.0,0,0,160,40
shared,20,40,0.75,2,0.0,0.0,0.8,1.0,0,0,160,40
shared,20,40,0.75,3,0.0125,0.025,0.795,0.99075,1,2,158,39
shared,20,40,0.75,4,0.0,0.025,0.805,0.99275,1,0,160,39
shared,20,40,0.75,5,0.012422360248447204,0.05128205128205128,0.805,0.9769999999999999,2,2,159,37
shared,20,40,0.75,6,0.025,0.025,0.785,0.98,1,4,156,39
shared,20,40,0.75,7,0.01875,0.05,0.795,0.9834999999999999,2,3,157,38
